link;endereco;rua;bairro;regiao;bairro_cidade;regiao_cidade;cidade;estado;area;quartos;suites;banheiros;vagas;elevador;metro_trem;condominio;iptu;valor;tipo;loc;point;tipo_Apartamento;tipo_Casa;cidade_BeloHorizonte;cidade_RioDeJaneiro;cidade_SaoPaulo
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-uniao-belo-horizonte-mg-74364/;Rua Lincoln, União, Belo Horizonte, Minas Gerais, 31170-680;Rua Lincoln;UNIAO;REGIAO NORDESTE;BAIRRO UNIAO, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;97;3;1;3;1;0;0;440;1392.0;395000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/casa-em-condominio-3-quartos-a-venda-no-sao-gabriel-belo-horizonte-mg-74898/;Rua Pedra Negra, São Gabriel, Belo Horizonte, Minas Gerais, 31985-150;Rua Pedra Negra;SAO GABRIEL;REGIAO NORDESTE;BAIRRO SAO GABRIEL, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;80;3;0;2;2;0;0;97;900.0;320000.0;Casa;;(-19.862296478496713, -43.91179480073082, 0.0);0;1;1;0;0
http://larimoveis.com.br/imovel/casa-3-quartos-a-venda-no-canada-belo-horizonte-mg-74875/;Rua Petrópolis, Canadá, Belo Horizonte, Minas Gerais, 31130-030;Rua Petrópolis;CANADA;REGIAO NORDESTE;BAIRRO CANADA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;163;3;0;1;1;0;0;0;1944.0;700000.0;Casa;;(-19.862296478496713, -43.91179480073082, 0.0);0;1;1;0;0
http://larimoveis.com.br/imovel/casa-4-quartos-a-venda-no-canada-belo-horizonte-mg-74832/;Rua Itapetinga, Canadá, Belo Horizonte, Minas Gerais, 31130-032;Rua Itapetinga;CANADA;REGIAO NORDESTE;BAIRRO CANADA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;170;4;1;3;2;0;0;0;1356.0;800000.0;Casa;;(-19.862296478496713, -43.91179480073082, 0.0);0;1;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-na-cidade-nova-belo-horizonte-mg-74808/;Rua Nelson Soares de Faria, Cidade Nova, Belo Horizonte, Minas Gerais, 31170-030;Rua Nelson Soares de Faria;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;141;3;1;2;2;0;0;350;1848.0;485000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-palmares-belo-horizonte-mg-73900/;Rua Nelson Lemos de Carvalho, Palmares, Belo Horizonte, Minas Gerais, 31160-590;Rua Nelson Lemos de Carvalho;PALMARES;REGIAO NORDESTE;BAIRRO PALMARES, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;70;3;1;2;1;0;0;260;4872.0;288000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-palmares-belo-horizonte-mg-73737/;Rua Domingos Moutinho Teixeira, Palmares, Belo Horizonte, Minas Gerais, 31155-660;Rua Domingos Moutinho Teixeira;PALMARES;REGIAO NORDESTE;BAIRRO PALMARES, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;96;3;1;3;2;0;0;550;2880.0;490000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/cobertura-4-quartos-a-venda-no-palmares-belo-horizonte-mg-73430/;Rua Vereador João Sardinha, Palmares, Belo Horizonte, Minas Gerais, 31160-610;Rua Vereador João Sardinha;PALMARES;REGIAO NORDESTE;BAIRRO PALMARES, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;155;4;2;4;2;0;0;250;2400.0;690000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-4-quartos-a-venda-no-ipiranga-belo-horizonte-mg-74399/;Av. Bernardo de Vasconcelos, Ipiranga, Belo Horizonte, Minas Gerais, 31160-440;Av. Bernardo de Vasconcelos;IPIRANGA;REGIAO NORDESTE;BAIRRO IPIRANGA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;128;4;1;3;2;0;0;1000;1296.0;690000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-2-quartos-a-venda-no-ipiranga-belo-horizonte-mg-74365/;Rua Pio Xi, Ipiranga, Belo Horizonte, Minas Gerais, 31160-140;Rua Pio Xi;IPIRANGA;REGIAO NORDESTE;BAIRRO IPIRANGA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;60;2;1;2;2;0;0;0;4800.0;330000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
